Year,Month,name,category,value
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.049273747
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.047652177
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.051640946
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.050957403
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.048301931
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.056201605
2013,October,MiSeq,Illumina MiSeq,0.002182403
2013,November,HiSeq 2000 V3,Illumina HiSeq 2500,0.221221029
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.322319907
2013,October,MiSeq,Illumina MiSeq,0
2013,October,MiSeq,Illumina MiSeq,0.002271578
2013,November,HiSeq 2000 V3,Illumina HiSeq 2500,0.251244238
2013,October,MiSeq,Illumina MiSeq,0
2013,October,MiSeq,Illumina MiSeq,0
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.278191067
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.317193383
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.034584848
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.397897699
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.374359877
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.040109507
2013,May,HiSeq 2000 V3,Illumina HiSeq 2000,0.242164753
2013,April,HiSeq 2500,Illumina HiSeq 2000,0.021840852
2013,March,HiSeq 2000 V3,Illumina HiSeq 2000,0.033144625
2013,July,HiSeq 2000 V3,Illumina HiSeq 2000,0.314190644
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.051736753
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.050372645
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.046640545
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.055380598
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.049479714
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.052389732
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.052334449
2014,February,MiSeq,Illumina MiSeq,0
2014,February,MiSeq,Illumina MiSeq,0
2014,March,HiSeq 2000 V3,Illumina HiSeq 2500,0.155976838
2014,February,MiSeq,Illumina MiSeq,0
2014,February,HiSeq 2000E,Illumina HiSeq 2000,0.305839577
2014,February,MiSeq,Illumina MiSeq,0
2014,March,HiSeq 2000 V3,Illumina HiSeq 2500,0.219013349
2014,March,HiSeq 2000 V3,Illumina HiSeq 2500,0.225144273
2014,February,HiSeq 2000E,Illumina HiSeq 2000,0.301959975
2014,February,MiSeq,Illumina MiSeq,0
2014,February,MiSeq,Illumina MiSeq,0
2014,February,MiSeq,Illumina MiSeq,0.003746837
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.042942131
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.050789454
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.040252469
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.048245531
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.043649892
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.050999152
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.041464978
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.014081972
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.051022552
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.045596648
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.047300233
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.046681707
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.037423886
2014,February,HiSeq 2500,Illumina HiSeq 2500,0.060984279
2014,March,HiSeq 2000E,Illumina HiSeq 2000,0.390204373
2014,March,HiSeq 2000E,Illumina HiSeq 2000,0.399222008
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.04848601
2013,May,HiSeq 2500,Illumina HiSeq 2000,0.043070999
2013,June,MiSeq,Illumina MiSeq,0.004756694
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.038315243
2013,July,HiSeq 2000 V3,Illumina HiSeq 2000,0.259527516
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.039324267
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.069112416
2013,January,HiSeq 2000 V3,Illumina HiSeq 2000,0.287536552
2013,June,HiSeq 2000 V3,Illumina HiSeq 2000,0.309516017
2013,January,HiSeq 2000 V3,Illumina HiSeq 2000,0.252150332
2013,May,HiSeq 2500,Illumina HiSeq 2500,0.051300472
2013,July,HiSeq 2500,Illumina HiSeq 2000,0.048610875
2013,August,HiSeq 2000 V3,Illumina HiSeq 2000,0.245151206
2013,May,HiSeq 2500,Illumina HiSeq 2500,0.030808489
2013,May,HiSeq 2000 V3,Illumina HiSeq 2000,0.341281824
2013,July,HiSeq 2000 V3,Illumina HiSeq 2000,0.168241295
2013,September,HiSeq 2000 V3,Illumina HiSeq 2000,0.205195712
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.044955346
2013,May,HiSeq 2500,Illumina HiSeq 2000,0.034356817
2013,June,HiSeq 2500,Illumina HiSeq 2000,0.051332929
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.044840196
2013,June,HiSeq 2500,Illumina HiSeq 2500,0.043742394
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.035030963
2013,April,HiSeq 2000 V3,Illumina HiSeq 2000,0.277386322
2013,April,HiSeq 2500,Illumina HiSeq 2500,0.057931234
2013,July,HiSeq 2500,Illumina HiSeq 2000,0.054018223
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.039316324
2013,February,HiSeq 2000 V3,Illumina HiSeq 2000,0.215567127
